position_X,position_Y,velocity_X,velocity_Y,pressure,size
861.02167,829.0,1837.2341,125.251526,1.075,0.043137256
899.2998,840.8473,2701.3276,1131.3276,1.075,0.04705883
954.15466,877.5865,3398.9236,2831.8215,1.075,0.039215688
1012.3864,934.68945,4042.496,5398.8843,1.075,0.04705883
1071.618,1039.7886,2804.056,6876.5635,1.075,0.04705883
1102.871,1157.29,1072.6769,7285.0776,1.075,0.043137256
1114.942,1291.7438,163.02084,9258.826,1.075,0.054901965
1111.4923,1431.6611,-608.91974,8013.241,1.075,0.04705883
1097.0397,1560.4374,-1035.6775,8152.6704,1.075,0.04705883
1075.9191,1663.2041,-797.754,3176.5938,1.075,0.04705883
1063.1971,1709.5072,-845.7737,1738.9216,1.075,0.04705883
1050.8713,1737.9087,-595.6407,1510.9246,1.075,0.050980397
1037.4148,1755.5852,-878.6502,681.1892,1.075,0.043137256
1022.03143,1767.6053,-1208.0306,597.3921,1.075,0.039215688
999.2682,1774.933,-1567.1824,390.97296,1.075,0.039215688
960.45233,1778.0,-2565.2625,-44.093494,1.075,0.039215688
916.7316,1773.2067,-2395.2422,-634.3528,1.075,0.043137256
880.14984,1764.4646,-2146.403,-921.8815,1.075,0.03137255
849.50183,1754.1544,-1623.3019,-453.66742,1.075,0.039215688
825.4598,1744.3839,-1164.2554,-451.23715,1.075,0.03137255
808.5635,1735.6077,-920.5483,-525.07794,1.075,0.03137255
795.5011,1728.0009,-535.4115,-511.0204,1.075,0.03529412
786.4861,1720.4861,-523.62067,-572.74335,1.075,0.03529412
775.0953,1710.9127,-841.6941,-711.6212,1.075,0.03137255
764.9499,1700.9498,-455.07126,-455.01263,1.075,0.03529412
756.3832,1689.9719,-391.1312,-651.4491,1.075,0.03137255
749.2182,1678.4364,-352.1394,-704.3971,1.075,0.027450982
743.5832,1668.111,-438.4179,-487.9116,1.075,0.027450982
740.32965,1659.3186,-131.33752,-525.32324,1.075,0.027450982
738.1514,1650.6057,-127.298584,-509.45062,1.075,0.027450982
735.94214,1642.8264,-130.21432,-319.6356,0.7875,0.027450982
726.16406,1635.582,-772.0311,-386.3832,0.7875,0.023529414
709.3123,1631.3281,-1044.172,-261.93362,0.7875,0.03137255
691.76495,1632.0,-696.07227,0.2520737,0.7875,0.027450982
681.0396,1634.7401,-474.05023,77.04974,0.7875,0.027450982
676.3062,1635.8469,-224.80113,175.76416,0.7875,0.03137255
675.0,1638.0114,64.554985,132.078,0.7875,0.03137255
