TimeStamp,TYPE_ACCELEROMETER_X,TYPE_ACCELEROMETER_Y,TYPE_ACCELEROMETER_Z,TYPE_MAGNETIC_FIELD_X,TYPE_MAGNETIC_FIELD_Y,TYPE_MAGNETIC_FIELD_Z,TYPE_GYROSCOPE_X,TYPE_GYROSCOPE_Y,TYPE_GYROSCOPE_Z,TYPE_ROTATION_VECTOR_X,TYPE_ROTATION_VECTOR_Y,TYPE_ROTATION_VECTOR_Z,TYPE_LINEAR_ACCELERATION_X,TYPE_LINEAR_ACCELERATION_Y,TYPE_LINEAR_ACCELERATION_Z,TYPE_GRAVITY_X,TYPE_GRAVITY_Y,TYPE_GRAVITY_Z
20160924-002621,-4.9272614,6.62236,3.368637,8.345032,-29.112244,-36.346436,0.053253174,1.1046753,-0.2886963,0.47166443,0.09640503,0.05757141,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-4.9272614,6.62236,3.368637,8.345032,-29.112244,-36.346436,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-4.9272614,6.62236,3.368637,25.151062,-25.917053,-29.39148,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-5.3821564,7.704529,3.7469177,25.151062,-25.917053,-29.39148,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,0.10324097,0.5810394,-1.8385925,-4.26915,7.573593,4.53685
20160924-002621,-5.3821564,7.704529,3.7469177,25.151062,-25.917053,-29.39148,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,0.10324097,0.5810394,-1.8385925,-4.373001,7.4239655,4.682907
20160924-002621,-5.3821564,7.704529,3.7469177,25.151062,-25.917053,-29.39148,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,-3.217804,8.480255,3.9480286,25.151062,-25.917053,-29.39148,0.053253174,1.1046753,-0.2886963,0.42660522,0.33303833,0.07872009,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,-3.217804,8.480255,3.9480286,25.151062,-25.917053,-29.39148,0.77549744,-4.6914215,0.49319458,0.42660522,0.33303833,0.07872009,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,-1.9967499,7.6566467,8.109146,25.151062,-25.917053,-29.39148,0.77549744,-4.6914215,0.49319458,0.42660522,0.33303833,0.07872009,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,-1.9967499,7.6566467,8.109146,25.151062,-25.917053,-29.39148,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,-1.9967499,7.6566467,8.109146,0.35705566,-29.785156,-35.375977,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,0.9624634,8.710098,4.0821075,0.35705566,-29.785156,-35.375977,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-1.0091553,0.28056335,-0.9359741,-4.373001,7.4239655,4.682907
20160924-002621,0.9624634,8.710098,4.0821075,0.35705566,-29.785156,-35.375977,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-1.0091553,0.28056335,-0.9359741,1.2710114,8.873505,3.9766083
20160924-002621,0.9624634,8.710098,4.0821075,0.35705566,-29.785156,-35.375977,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,2.178711,9.62468,1.6352386,0.35705566,-29.785156,-35.375977,0.77549744,-4.6914215,0.49319458,0.47798157,0.018997192,-0.065475464,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,2.178711,9.62468,1.6352386,0.35705566,-29.785156,-35.375977,0.60079956,-1.4615326,-0.10121155,0.47798157,0.018997192,-0.065475464,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,1.9919739,8.173798,1.1659698,0.35705566,-29.785156,-35.375977,0.60079956,-1.4615326,-0.10121155,0.47798157,0.018997192,-0.065475464,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,1.9919739,8.173798,1.1659698,0.35705566,-29.785156,-35.375977,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,1.9919739,8.173798,1.1659698,-14.453125,-33.31604,-26.805115,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
20160924-002621,0.0143585205,4.213791,3.6894531,-14.453125,-33.31604,-26.805115,0.60079956,-1.4615326,-0.10121155,0.5209961,-0.1925354,-0.15826416,-0.30854797,-0.16339111,0.10548401,1.2710114,8.873505,3.9766083
